yyyy;mm;dd;date;uvief;uvdef;uvdvf;uvddf;ozone
1971;4;26;1971-04-26;9390.76765;4464.97636;8324.20221;2340.33644;3224.27640
1971;4;27;1971-04-27;9751.12080;4625.95914;8703.76256;2501.20030;3125.12094
1971;4;28;1971-04-28;9562.69265;4539.75140;8509.38122;2424.04936;3158.10680
1971;4;29;1971-04-29;10377.81420;4905.95151;9364.53160;2791.18267;2965.39346
1971;4;30;1971-04-30;10422.98384;4925.33121;9414.81749;2816.76425;2944.68654
1971;5;1;1971-05-01;10760.16650;5076.55586;9770.84709;2978.02039;2867.30346
1971;5;2;1971-05-02;10422.72862;4922.57026;9420.72001;2828.09425;2921.95666
1971;5;3;1971-05-03;11063.70118;5210.74433;10094.41857;3133.30714;2789.05946
1971;5;4;1971-05-04;10807.04727;5093.37765;9827.97920;3018.04406;2824.80694
1971;5;5;1971-05-05;10963.18804;5162.82350;9995.56438;3097.85486;2785.51666
1971;5;6;1971-05-06;10595.01837;4994.65334;9612.21430;2930.51163;2841.76094
1971;5;7;1971-05-07;10184.62736;4808.34750;9186.50983;2748.10486;2912.05626
1971;5;8;1971-05-08;10575.97371;4983.87294;9598.89298;2933.76537;2822.77546
1971;5;9;1971-05-09;9829.18665;4645.86948;8821.31047;2598.81606;2963.25480
1971;5;10;1971-05-10;10645.37007;5011.88540;9676.61749;2977.93558;2787.85134
1971;5;11;1971-05-11;9662.82775;4567.63663;8654.08251;2534.66883;2975.81134
1971;5;12;1971-05-12;10271.48245;4841.41952;9292.71721;2815.65892;2837.80720
1971;5;13;1971-05-13;10191.32659;4803.67646;9210.90363;2783.96001;2842.75292
1971;5;14;1971-05-14;10439.07503;4913.85855;9472.41073;2904.09795;2783.94760
1971;5;15;1971-05-15;9965.49176;4699.46258;8981.80746;2691.68932;2866.56172
1971;5;16;1971-05-16;9388.45970;4438.56886;8382.58086;2437.89389;2980.49826
1971;5;17;1971-05-17;9148.33506;4328.92223;8134.37411;2337.26257;3025.95826
1971;5;18;1971-05-18;8626.90566;4093.04345;7594.01150;2118.37646;3146.41972
1971;5;19;1971-05-19;8815.44935;4176.75717;7793.61199;2202.08751;3086.02414
1971;5;20;1971-05-20;9059.90598;4285.84849;8050.17488;2311.97961;3014.37254
1971;5;21;1971-05-21;8980.20512;4249.40211;7970.51816;2281.58737;3023.09440
1971;5;22;1971-05-22;8659.34062;4104.09320;7638.51858;2147.42620;3093.77226
1971;5;23;1971-05-23;8836.32846;4182.65465;7825.44962;2226.99031;3038.05774
1971;5;24;1971-05-24;9097.41368;4299.34560;8099.41858;2343.68391;2964.69520
1971;5;25;1971-05-25;9005.55917;4257.36654;8006.55673;2307.71751;2977.63160
1971;5;26;1971-05-26;8700.12171;4118.66414;7690.22287;2179.06926;3043.56534
1971;5;27;1971-05-27;8882.12251;4199.72602;7883.11273;2261.93191;2988.58588
1971;5;28;1971-05-28;9103.76239;4298.63562;8115.63221;2361.88831;2927.01280
1971;5;29;1971-05-29;8821.70336;4170.91656;7823.71623;2242.21340;2985.44854
1971;5;30;1971-05-30;8685.02449;4108.80047;7684.35285;2186.94956;3010.89666
1971;5;31;1971-05-31;8791.89273;4156.43605;7797.05068;2235.74554;2976.11360
1971;6;1;1971-06-01;8978.25244;4239.18110;7992.37626;2319.49060;2924.21134
1971;6;2;1971-06-02;9297.57418;4382.80990;8327.49612;2465.06260;2844.27026
1971;6;3;1971-06-03;8883.02334;4194.88275;7898.15248;2284.08396;2932.30372
1971;6;4;1971-06-04;9852.40376;4630.56150;8908.24358;2723.65911;2716.16960
1971;6;5;1971-06-05;9076.19438;4281.12367;8102.16311;2374.43582;2873.30494
1971;6;6;1971-06-06;9964.33407;4679.84993;9029.13240;2781.96020;2682.60160
1971;6;7;1971-06-07;10001.52235;4696.37887;9069.36483;2802.53594;2670.33346
1971;6;8;1971-06-08;8914.89758;4206.82221;7939.07351;2310.99194;2893.39988
1971;6;9;1971-06-09;9742.26555;4578.61499;8800.89348;2686.76940;2710.12254
1971;6;10;1971-06-10;9260.89808;4361.45212;8300.96041;2468.72279;2805.97266
1971;6;11;1971-06-11;9106.23619;4290.95198;8141.13547;2401.22531;2835.33000
1971;6;12;1971-06-12;8758.58822;4134.36266;7781.60375;2250.48091;2912.10626
1971;6;13;1971-06-13;8925.70956;4209.72586;7955.84135;2324.94505;2868.46614
1971;6;14;1971-06-14;7404.24634;3524.44511;6378.43494;1689.50656;3285.04440
1971;6;15;1971-06-15;7315.38714;3484.79831;6286.74614;1654.79296;3310.97520
1971;6;16;1971-06-16;7826.52232;3713.83471;6816.69825;1861.06656;3146.23454
1971;6;17;1971-06-17;7318.52637;3485.15900;6290.77442;1658.22310;3304.27840
1971;6;18;1971-06-18;7192.98065;3429.20234;6162.28285;1610.10870;3344.54054
1971;6;19;1971-06-19;8461.94611;3999.47540;7478.05525;2129.70990;2966.17892
1971;6;20;1971-06-20;9017.82077;4249.76780;8056.90842;2372.94550;2831.45826
1971;6;21;1971-06-21;9461.57329;4448.99366;8518.66360;2574.17136;2734.85932
1971;6;22;1971-06-22;10568.34424;4946.39386;9671.38775;3097.64836;2528.19894
1971;6;23;1971-06-23;8941.55286;4215.52551;7978.63317;2340.60493;2847.12854
1971;6;24;1971-06-24;9309.98046;4380.64751;8361.19171;2504.88202;2766.55680
1971;6;25;1971-06-25;9370.50121;4408.27015;8423.75458;2532.50465;2754.26654
1971;6;26;1971-06-26;9614.29234;4517.77286;8678.10131;2643.85227;2705.34080
1971;6;27;1971-06-27;8963.99082;4225.40622;8001.01433;2349.44150;2845.73600
1971;6;28;1971-06-28;8655.46068;4087.25608;7679.48153;2213.39230;2920.35080
1971;6;29;1971-06-29;8838.46710;4169.60022;7869.53741;2292.68964;2878.61560
1971;6;30;1971-06-30;9197.55536;4331.06048;8243.48059;2451.19670;2799.40520
1971;7;1;1971-07-01;9079.15325;4278.46036;8118.23355;2396.59924;2828.67920
1971;7;2;1971-07-02;8862.57856;4181.14462;7893.61473;2300.17990;2881.39254
1971;7;3;1971-07-03;9743.99661;4577.75505;8809.06958;2696.83978;2695.15120
1971;7;4;1971-07-04;9591.00610;4509.20639;8649.09906;2625.25432;2729.91346
1971;7;5;1971-07-05;9151.09099;4311.40291;8190.19395;2423.44084;2827.25840
1971;7;6;1971-07-06;8994.90972;4241.94587;8027.78549;2352.88552;2866.11360
1971;7;7;1971-07-07;8562.50121;4047.72896;7576.59151;2161.67127;2975.74280
1971;7;8;1971-07-08;9493.00998;4466.40947;8543.04615;2572.30498;2767.34840
1971;7;9;1971-07-09;8422.50580;3986.25390;7429.17676;2098.89955;3022.42132
1971;7;10;1971-07-10;8848.89163;4178.32336;7870.31540;2280.20621;2922.25946
1971;7;11;1971-07-11;7917.40076;3759.64738;6901.77039;1883.36717;3175.31946
1971;7;12;1971-07-12;8488.74337;4016.84576;7493.16980;2119.66915;3024.46454
1971;7;13;1971-07-13;8767.95737;4143.35110;7782.00620;2237.29341;2961.40200
1971;7;14;1971-07-14;8463.25846;4006.78444;7464.48034;2104.50955;3045.09880
1971;7;15;1971-07-15;7300.87333;3483.75127;6255.93216;1628.61677;3404.32200
1971;7;16;1971-07-16;8474.19088;4012.87324;7472.18822;2103.71195;3058.17066
1971;7;17;1971-07-17;9313.18290;4390.99359;8343.11812;2466.82964;2863.69068
1971;7;18;1971-07-18;8799.94841;4160.94522;7806.94777;2237.77127;2991.73960
1971;7;19;1971-07-19;8083.92069;3839.50242;7060.74231;1932.56301;3191.78574
1971;7;20;1971-07-20;7702.42563;3668.72282;6662.40234;1775.72661;3317.71426
1971;7;21;1971-07-21;8575.42681;4062.69133;7568.20163;2132.63567;3074.56800
1971;7;22;1971-07-22;9092.08859;4295.77971;8103.20155;2351.60044;2956.77720
1971;7;23;1971-07-23;9640.10045;4544.14996;8673.10247;2593.07898;2843.68626
1971;7;24;1971-07-24;10848.23305;5088.49434;9931.47642;3155.68736;2623.03106
1971;7;25;1971-07-25;9237.56625;4364.21128;8248.53296;2405.03670;2950.69974
1971;7;26;1971-07-26;9225.18263;4359.06260;8233.15934;2395.83122;2962.85694
1971;7;27;1971-07-27;9185.74432;4342.78297;8189.67423;2374.64987;2982.87374
1971;7;28;1971-07-28;9163.22700;4333.21311;8164.94705;2361.08002;2997.79200
1971;7;29;1971-07-29;9166.53349;4336.13549;8165.52489;2358.89879;3007.74694
1971;7;30;1971-07-30;9039.34121;4279.54669;8031.27580;2299.30733;3048.57240
1971;7;31;1971-07-31;8474.43794;4026.13111;7439.47348;2054.93856;3206.81492
1971;8;1;1971-08-01;8719.06493;4136.88281;7692.11312;2154.58133;3151.45880
1971;8;2;1971-08-02;8894.42744;4217.05641;7872.47298;2224.80173;3117.37200
1971;8;3;1971-08-03;9401.67299;4447.56558;8398.77533;2441.26411;3006.09800
1971;8;4;1971-08-04;9379.81363;4438.16664;8373.90862;2426.81836;3021.82720
1971;8;5;1971-08-05;9412.73560;4454.63395;8405.82528;2437.32716;3025.14534
1971;8;6;1971-08-06;9038.63819;4287.10424;8012.71787;2270.79479;3126.41786
1971;8;7;1971-08-07;9255.91489;4385.84087;8236.93511;2360.48728;3084.57294
1971;8;8;1971-08-08;9584.73633;4535.61725;8577.76920;2500.25100;3019.16800
1971;8;9;1971-08-09;8870.65884;4214.47830;7830.71438;2187.09674;3204.64094
1971;8;10;1971-08-10;9386.02707;4447.92376;8365.06463;2403.55220;3087.61334
1971;8;11;1971-08-11;9761.86665;4618.71788;8755.85273;2565.29951;3012.27574
1971;8;12;1971-08-12;10591.43709;4994.64611;9620.35371;2938.22775;2852.71600
1971;8;13;1971-08-13;9916.30408;4691.47145;8911.77604;2625.09457;3000.44666
1971;8;14;1971-08-14;10230.28878;4834.56634;9237.63714;2762.24361;2945.87746
1971;8;15;1971-08-15;10739.69927;5065.87432;9769.37869;2992.47946;2855.53174
1971;8;16;1971-08-16;10378.39989;4904.19463;9388.14611;2819.76829;2937.38760
1971;8;17;1971-08-17;10292.65763;4866.67397;9296.08545;2775.30975;2965.56494
1971;8;18;1971-08-18;9966.83900;4720.12960;8952.00547;2623.59763;3046.61094
1971;8;19;1971-08-19;9856.66077;4671.93614;8834.86404;2569.40417;3082.22974
1971;8;20;1971-08-20;9760.57150;4629.68536;8730.95783;2522.09660;3115.37454
1971;8;21;1971-08-21;9399.23633;4467.80739;8350.00520;2360.38434;3213.94388
1971;8;22;1971-08-22;10929.18635;5161.41379;9950.12828;3041.98808;2894.50826
1971;8;23;1971-08-23;9966.67431;4727.17718;8939.62156;2598.60171;3102.23426
1971;8;24;1971-08-24;9879.97464;4689.80161;8846.01752;2556.22613;3133.34052
1971;8;25;1971-08-25;9976.62344;4734.75961;8944.59218;2594.19679;3121.93906
1971;8;26;1971-08-26;10013.26610;4752.54121;8981.15655;2605.86745;3124.60240
1971;8;27;1971-08-27;9605.40109;4569.23363;8551.22474;2422.72027;3231.25720
1971;8;28;1971-08-28;8693.89891;4157.79980;7594.04805;2037.17550;3487.40200
1971;8;29;1971-08-29;9575.62874;4558.52126;8515.29200;2402.06736;3260.24640
1971;8;30;1971-08-30;10632.91689;5038.67166;9621.58280;2865.05002;3032.92560
1971;8;31;1971-08-31;10811.64974;5121.56074;9807.13790;2941.99590;3006.38586
1971;9;1;1971-09-01;10475.35988;4969.97808;9451.94485;2784.35910;3084.39774
1971;9;2;1971-09-02;11061.70870;5237.60862;10066.20953;3047.93550;2976.33320
1971;9;3;1971-09-03;12110.63438;5713.73199;11166.47601;3543.06887;2799.97266
1971;9;4;1971-09-04;11641.44021;5502.42079;10671.72624;3311.83244;2886.67360
1971;9;5;1971-09-05;10884.94269;5161.57522;9874.70017;2952.91007;3036.68214
